"Localidade";"Variável";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Abadia de Goiás";"Efetivo de Aves (cab)";"7.550";"7.800";"7.900";"7.800";" 7.600 ";"7.156";"7.059";"7.100";"7.300";"70.000"
"Abadia de Goiás";"Efetivo de Codornas (cab)";"-";"-";"-";"-";" - ";"-";"-";"-";"-";"-"
"Abadia de Goiás";"Efetivo de Galináceos (cab)";"7.550";"7.800";"7.900";"7.800";" 7.600 ";"7.156";"7.059";"7.100";"7.300";"70.000"
"Abadia de Goiás";"Efetivo do Rebanho de Asininos (cab)";"";"";"";"";"";"";"";"";"";""
"Abadia de Goiás";"Efetivo do Rebanho Bovinos (cab)";"15.800";"16.100";"17.900";"18.100";" 17.741 ";"15.683";"15.050";"16.500";"17.650";"16.350"
"Abadia de Goiás";"Efetivo do Rebanho de Bubalinos (cab)";"-";"4";"6";"5";" 7 ";"7";"2";"10";"9";"4"
"Abadia de Goiás";"Efetivo do Rebanho de Caprinos (cab)";"40";"40";"40";"37";" 42 ";"45";"48";"40";"33";"40"
"Abadia de Goiás";"Efetivo do Rebanho de Equinos (cab)";"115";"120";"122";"253";" 250 ";"247";"252";"290";"310";"345"
"Abadia de Goiás";"Efetivo do Rebanho de Muares (cab)";"";"";"";"";"";"";"";"";"";""
"Abadia de Goiás";"Efetivo do Rebanho de Ovinos (cab)";"95";"80";"50";"46";"50";"52";"56";"110";"130";"155"
"Abadia de Goiás";"Efetivo do Rebanho de Suínos  (cab)";"860";"850";"840";"945";"1.020";"1.078";"1.026";"1.050";"1.095";"1.250"
"Abadia de Goiás";"Efetivo do Rebanho de Vacas Ordenhadas (cab)";"1.680";"1.600";"1.740";"1.450";"1.380";"1.352";"1.342";"900";"1.050";"1.200"
"Abadiânia";"Efetivo de Aves (cab)";"219.350";"215.000";"125.000";"380.000";" 874.200 ";"893.200";"921.200";"718.654";"1.195.677";"1.080.000"
"Abadiânia";"Efetivo de Codornas (cab)";"-";"-";"-";"-";" - ";"-";"-";"-";"-";"-"
"Abadiânia";"Efetivo de Galináceos (cab)";"219.350";"215.000";"125.000";"380.000";" 874.200 ";"893.200";"921.200";"718.654";"1.195.677";"1.080.000"
"Abadiânia";"Efetivo do Rebanho de Asininos (cab)";"";"";"";"";"";"";"";"";"";""
"Abadiânia";"Efetivo do Rebanho Bovinos (cab)";"52.000";"51.500";"51.800";"54.610";" 61.363 ";"51.967";"57.595";"57.895";"56.424";"52.793"
"Abadiânia";"Efetivo do Rebanho de Bubalinos (cab)";"35";"40";"50";"40";" 39 ";"13";"10";"18";"15";"17"
"Abadiânia";"Efetivo do Rebanho de Caprinos (cab)";"30";"35";"30";"145";" 180 ";"158";"154";"126";"138";"145"
"Abadiânia";"Efetivo do Rebanho de Equinos (cab)";"1.000";"700";"760";"1.280";" 1.747 ";"1.996";"2.018";"2.005";"2.012";"1.882"
