"Localidade";"Variável";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"ESTADO DE GOIÁS";"Balança Comercial - Exportação (US$ FOB)";"325.890.630";"544.863.873";"595.270.896";"649.313.998";"1.103.187.151";"1.413.115.385";"1.817.392.930";"2.093.110.708";"3.184.780.418";"4.090.520.375";"3.614.963.748";"4.044.660.617";"5.605.193.073";"7.314.578.250";"7.042.673.945";"6.979.883.720";"5.878.262.696";"5.930.086.819";"6.905.341.886";"5.204.181.065";"6.486.328.454";" 7.344.117.220 ";"8.011.859.791";"12.340.728.788";"12.069.662.073";"12.256.583.777"
"Abadia de Goiás";"Balança Comercial - Exportação (US$ FOB)";"111.240";"157.687";"92.102";"69.897";"288.216";"125.124";"93.008";"122.876";"895.256";"175.211";"179.745";"61.835";"1.433.347";"293.086";"651.262";"140.916";"306.419";"486.985";"388.815";"571.046";"538.966";" 267.952 ";"45.377";"491.571";"198.368";"260.716"
"Abadiânia";"Balança Comercial - Exportação (US$ FOB)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";" -   ";"-";"3.733";"5.328";"2.530";"-";"-";"-";"-   ";"-";" 31.363 ";"11.017";"14.787";"53.702";"54.735"
"Acreúna";"Balança Comercial - Exportação (US$ FOB)";"1.120";"-";"217.849";"-";"905.578";"1.789.060";"2.119.972";"1.531.455";"6.024.967";"4.038.619";"4.304.356";"1.406.345";"1.838.513";"1.124.376";"918.121";"83.395";"46.674";"-";"247.500";"612.800";"1.087.840";" 1.501.099 ";"1.880.491";"682.199";"2.226.225";"3.700.893"
"Adelândia";"Balança Comercial - Exportação (US$ FOB)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";" -   ";"-";"-";"-";"-";"-";"-";"-";"-   ";"-";" - ";"-";"-";"-";"-"
"Água Fria de Goiás";"Balança Comercial - Exportação (US$ FOB)";"-";"-";"-";"-";"-";"-";"-";"-";"1.682.837";"18.817.831";"1.920.261";" -   ";"-";"-";"-";"-";"-";"-";"-";"-   ";"45.000";" - ";"56.000";"134.287";"-";"822.188"
"Água Limpa";"Balança Comercial - Exportação (US$ FOB)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";" -   ";"-";"-";"-";"-";"-";"-";"-";"-   ";"-";" - ";"-";"-";"-";"-"
"Águas Lindas de Goiás";"Balança Comercial - Exportação (US$ FOB)";"23.761";"17.165";"13.712";"10.047";"-";"2.478";"2.191";"-";"1.107";"1.468";"734";" -   ";"-";"-";"-";"13.926";"102.480";"-";"6.038";"5.760";"5.760";" - ";"-";"394.083";"146";"0"
"Alexânia";"Balança Comercial - Exportação (US$ FOB)";"-";"-";"-";"-";"2.801.050";"4.462.050";"-";"-";"-";"-";"-";" -   ";"-";"-";"-";"-";"-";"117.732";"29.538";"51.391";"27.176";" - ";"-";"-";"11.864";"16.538"
"Aloândia";"Balança Comercial - Exportação (US$ FOB)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";" -   ";"-";"-";"-";"-";"-";"-";"-";"-   ";"-";" - ";"-";"-";"-";"-"
"Alto Horizonte";"Balança Comercial - Exportação (US$ FOB)";"-";"-";"-";"-";"-";"-";"-";"-";"428.847.469";"476.546.255";"331.628.913";"504.658.668";"691.510.374";"597.447.257";"470.800.713";"435.777.789";"338.553.305";"374.406.635";"408.812.167";"439.071.361";"424.810.071";" 400.483.294 ";"526.952.668";"457.937.634";"418.403.695";"498.749.251"
"Alto Paraíso de Goiás";"Balança Comercial - Exportação (US$ FOB)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";" -   ";"-";"-";"5.292";"-";"-";"-";"6.064";"44.331";"396.616";" 352.501 ";"672.508";"353.648";"146.276";"845.142"
"Alvorada do Norte";"Balança Comercial - Exportação (US$ FOB)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";" -   ";"-";"-";"-";"-";"-";"-";"-";"-   ";"-";" - ";"-";"-";"-";"-"
"Amaralina";"Balança Comercial - Exportação (US$ FOB)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";" -   ";"-";"-";"-";"-";"-";"-";"-";"-   ";"-";" - ";"-";"-";"-";"-"
"Americano do Brasil";"Balança Comercial - Exportação (US$ FOB)";"-";"-";"-";"-";"-";"-";"-";"-";"7.442.577";"14.432.358";"211.136";"12.125.810";"17.007.399";"10.075.184";"6.735.838";"543.595";"-";"-";"-";"0";"-";" - ";"-";"-";"-";"-"
"Amorinópolis";"Balança Comercial - Exportação (US$ FOB)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";" -   ";"-";"-";"-";"-";"-";"-";"-";"-   ";"-";" - ";"-";"-";"-";"-"
"Anápolis";"Balança Comercial - Exportação (US$ FOB)";"327.566";"322.800";"2.959.705";"621.817";"2.655.868";"14.307.801";"38.755.971";"47.971.545";"36.958.163";"17.038.234";"68.157.340";"51.051.357";"239.098.987";"245.777.146";"271.265.800";"288.029.886";"241.515.639";"167.415.459";"115.479.927";"52.672.219";"137.254.774";" 137.331.003 ";"323.328.787";"566.004.326";"260.134.170";"155.094.827"
"Anhanguera";"Balança Comercial - Exportação (US$ FOB)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";" -   ";"-";"-";"-";"-";"-";"-";"-";"-   ";"-";" - ";"-";"-";"-";"-"
